Clay,Polymer,E/C (%),n,velocity (m/s),abs(velocity) (m/s),standard error ,relative standard error,log(abs(velocity))
Smectite ,n/a,0,9,1.69E-06,1.69E-06,2.66E-06,1.57E+00,-5.77
Smectite ,guar,1,5,6.24E-05,6.24E-05,2.53E-05,4.06E-01,-4.2
Smectite ,guar,2,4,2.65E-04,2.65E-04,1.38E-04,5.21E-01,-3.58
Smectite ,guar,5,11,4.37E-04,4.37E-04,8.56E-05,1.96E-01,-3.36
Smectite ,guar,8,3,6.28E-04,6.28E-04,1.53E-04,2.43E-01,-3.2
Smectite ,guar,10,4,1.28E-03,1.28E-03,3.18E-04,2.48E-01,-2.89
Smectite ,xanthan,1,3,5.71E-06,1.55E-06,4.32E-06,-2.77E+01,-5.81
Smectite ,xanthan,2,3,-2.40E-06,2.40E-06,4.20E-06,-1.74E+00,-5.62
Smectite ,xanthan,5,2,1.24E-05,1.24E-05,8.35E-06,6.75E-01,-4.91
Smectite ,xanthan,8,3,3.37E-06,3.37E-06,1.08E-07,3.22E-02,-5.47
Smectite ,xanthan,10,3,-3.19E-06,3.19E-06,2.39E-06,-7.49E-01,-5.5
Kaolinite,n/a,0,3,-2.72E-06,2.72E-06,3.35E-06,6.36E-07,-5.57
Kaolinite,guar,1,4,1.54E-05,1.54E-05,3.81E-06,2.47E-01,-4.81
Kaolinite,guar,2,3,2.64E-05,2.64E-05,1.94E-05,7.36E-01,-4.58
Kaolinite,guar,5,2,6.20E-06,6.20E-06,1.80E-05,2.90E+00,-5.21
Kaolinite,guar,8,2,-3.99E-06,3.99E-06,1.13E-06,-2.84E-01,-5.4
Kaolinite,guar,10,2,-3.32E-06,3.32E-06,9.83E-07,-2.96E-01,-5.48
Kaolinite,xanthan,1,2,-1.82E-05,1.82E-05,2.15E-06,-1.19E-01,-4.74
Kaolinite,xanthan,2,2,7.44E-06,7.44E-06,2.45E-06,3.29E-01,-5.13
Kaolinite,xanthan,5,2,-1.33E-05,1.33E-05,7.60E-06,-5.70E-01,-4.88
Kaolinite,xanthan,8,1,-6.93E-06,6.93E-06,,,-5.16
Kaolinite,xanthan,10,2,-8.59E-06,8.59E-06,1.53E-06,-1.78E-01,-5.07
Smectite : Kaolinite (0.25),guar,10,1,8.72E-05,8.72E-05,,,-4.06
Smectite : Kaolinite (0.50),guar,5,1,6.34E-04,6.34E-04,,,-3.2
Smectite : Kaolinite (0.50),guar,10,1,4.63E-04,4.63E-04,,,-3.33
Smectite : Kaolinite (0.75),guar,10,1,6.44E-04,6.44E-04,,,-3.19
Smectite : Kaolinite (0.50),xanthan,2,1,3.17E-06,3.17E-06,,,-5.5
Smectite : Kaolinite (0.50),xanthan,5,1,-3.61E-05,3.61E-05,,,-4.44
Smectite : Kaolinite (0.50),xanthan,10,1,8.59E-06,8.59E-06,,,-5.07
90 Mesh sand,n/a,n/a,3,-1.72E-02,1.72E-02,6.08E-03,3.54E-01,-1.76
Fine silt (Stokes),n/a,n/a,n/a,1.44E-06,1.44E-06,,,-5.84
Coarse silt (Stokes),n/a,n/a,n/a,1.44E-04,1.44E-04,,,-3.84
